Country Name,Country Code,Series Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020],2023 [YR2023]
Barbados,BRB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,729189647.860315,1075933113.14715,1499394780.77324,1483924496.90423,1530568363.24698,..,..
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,4803000000,6035300000,15194000000,24506100000,26164300000,28395600000,39037500000
Belarus,BLR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5468700000,7062900000,16053700000,33794800000,28306800000,30388600000,41565200000
Belgium,BEL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,227937060847.95,271416529007.791,250722110614.369,301619167461.284,389936584465.512
Belgium,BEL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,224065391559.6,276154055605.482,248869835190.672,291440989798.551,386913077599.464
Belize,BLZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,164552000,261923857.555,308048780.4425,475729501.242996,537911604.854103,288753129.073657,488061500.404188
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,230602000,467658722.31075,544213649.4343,647223347.839414,961264733.302456,731431929.970358,1265415549.92276
Benin,BEN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,419936213.605216,393306762.291774,578343031.806262,1282783670.83008,2392374854.60175,2995822076.06074,..
Benin,BEN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,622454732.655873,516053905.127863,863706926.736041,1776908236.668,2916041759.46246,3152060630.04811,..
Bermuda,BMU,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,14684082.319868,21438542.45,10760815.4258651,..
Bermuda,BMU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,988034768.18,939692650.76,926883082.2,..
Bhutan,BTN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,521649960.61734,581541423.500904,651940784.289152,686913928.846103
Bhutan,BTN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,795022573.219521,1008584799.05262,962955628.818722,1431786844.53779
Bolivia,BOL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1041400000,1139092096.03,2622226566.01205,6129300487.3046,8684018275.65134,7013096617.01611,10793376159.7197
Bolivia,BOL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1223700000,1610160000,2182590109.28,5006774120.3598,9071898887.29365,6333861464.06692,10531914109.1752
