Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Israel,ISR,CO2 emissions (kt),EN.ATM.CO2E.KT,36295.966,36754.341,42790.223,45074.764,48400.733,51099.645,53098.16,55881.413,57095.19,55694.396,60259.811,63596.781,59812.437,62889.05,59020.365,56952.177,62471.012,63072.4,68264.872,64469.527,68880.928,69130.284,75529.199,67069.43,64601.539,..
Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,417550.289,423894.199,420535.227,411917.777,407378.031,430483.798,425830.375,430487.465,440153.677,441998.178,450564.29,450347.937,452610.476,468349.24,473970.751,473384.031,469346.664,462676.391,447186.983,401591.505,405361.181,397994.178,369468.585,345317.723,320411.459,..
Jamaica,JAM,CO2 emissions (kt),EN.ATM.CO2E.KT,7532.018,7755.705,7715.368,8005.061,8195.745,9178.501,9702.882,10131.921,9717.55,9977.907,10307.937,10615.965,10241.931,10667.303,10670.97,10498.621,11496.045,9651.544,10208.928,7741.037,7297.33,7858.381,7462.345,8093.069,7422.008,..
Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,1096179.977,1099381.268,1123847.492,1109887.223,1173315.322,1183447.243,1204690.174,1200788.486,1157829.581,1196516.431,1220527.947,1203377.388,1220047.57,1242093.574,1266009.748,1239255.316,1231495.944,1252229.162,1210135.669,1103869.676,1171624.835,1191074.603,1230168.49,1246515.976,1214048.358,..
Jordan,JOR,CO2 emissions (kt),EN.ATM.CO2E.KT,10403.279,9798.224,12266.115,12101.1,13633.906,13556.899,14187.623,14418.644,14543.322,14568.991,15507.743,16002.788,16886.535,17469.588,19240.749,21059.581,21121.92,22035.003,21349.274,21891.99,21180.592,21668.303,24444.222,24389.217,26450.071,..
Kazakhstan,KAZ,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,262043.82,217621.782,199983.512,169166.044,141535.199,129459.768,127321.907,116493.256,118099.402,131850.652,133735.49,142209.927,173053.064,177328.786,192631.177,222348.545,232806.829,213338.726,248549.26,259058.882,242971.753,262846.893,248314.572,..
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,5823.196,4840.44,5540.837,6347.577,6556.596,7554.02,9328.848,8265.418,10036.579,10172.258,10417.947,9369.185,7968.391,6754.614,7623.693,8562.445,9574.537,9831.227,10241.931,12350.456,12174.44,13457.89,12515.471,13333.212,14286.632,..
Kiribati,KIR,CO2 emissions (kt),EN.ATM.CO2E.KT,22.002,22.002,25.669,29.336,29.336,29.336,33.003,25.669,29.336,29.336,29.336,25.669,40.337,40.337,44.004,62.339,69.673,51.338,55.005,40.337,62.339,62.339,62.339,62.339,62.339,..
"Korea, Dem. Rep.",PRK,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,59119.374,64531.866,69661.999,72225.232,69225.626,70751.098,72357.244,75573.203,76900.657,64227.505,71132.466,70677.758,66453.374,48034.033,49057.126,36009.94,40527.684,..
"Korea, Rep.",KOR,CO2 emissions (kt),EN.ATM.CO2E.KT,246943.114,261482.769,284280.508,321951.599,344037.94,374771.067,403780.704,430032.757,364833.497,399864.348,447561.017,450193.923,465631.993,466215.046,482276.506,462922.08,470655.783,495675.724,507589.807,508862.256,566716.515,589400.577,583966.083,592499.192,587156.373,..
Kosovo,XKX,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,CO2 emissions (kt),EN.ATM.CO2E.KT,51000.636,10190.593,21085.25,33274.358,38906.87,54821.65,50153.559,54920.659,51745.037,54022.244,53560.202,57641.573,58228.293,59922.447,63534.442,71546.837,73769.039,75235.839,82731.187,87303.936,89625.147,91029.608,102334.969,98345.273,95408.006,..
Kyrgyz Republic,KGZ,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,11217.353,8621.117,6226.566,4528.745,5694.851,5610.51,5955.208,4671.758,4635.088,3894.354,4957.784,5438.161,5874.534,5592.175,5507.834,6629.936,7660.363,6791.284,6384.247,7656.696,10131.921,9842.228,9607.54,..
Lao PDR,LAO,CO2 emissions (kt),EN.ATM.CO2E.KT,212.686,234.688,256.69,256.69,275.025,348.365,476.71,608.722,685.729,927.751,938.752,872.746,1151.438,1100.1,1393.46,1404.461,1551.141,909.416,946.086,1257.781,1639.149,1624.481,1697.821,1576.81,1954.511,..
Late-demographic dividend,LTE,CO2 emissions (kt),EN.ATM.CO2E.KT,6238090.78294171,6385376.14892897,6645670.07248215,6687561.2582392,6617842.35622924,6871639.3570815,7022948.82392222,6959551.00262024,6766256.84291139,6778057.00527173,6962177.35199681,7115864.92058302,7484431.85163535,8337050.11766295,9142115.54592868,9903661.61951394,10691241.4054818,11267320.5667167,11958612.610088,12211433.4015097,13264209.8728904,14391661.0190226,14812781.9329621,15053459.3315957,15089660.8763876,..
